accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs003922,Atezolizumab Plus Personalized Neoantigen Vaccination in Patients with    Urothelial Cancer: a Phase 1 Trial,Cancer Vaccines,2025-03-25,,Kidney Neoplasms; Ureteral Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Kidney Tumor; Kidney cancer,"<p>This is a phase 1 single center clinical trial evaluating a multi-peptide personalized neoantigen vaccine, PGV001, in combination with atezolizumab for patients with urothelial cancer. Patients were enrolled in either the adjuvant or metastatic setting. Those in the adjuvant setting included patients considered high risk of recurrence (pathological stage ypT2-T4 or ypN+ for those treated with prior neoadjuvant chemotherapy or pT3-T4 or pN+ for those not treated with prior neoadjuvant chemotherapy). Those in the metastatic setting included patients progressing after prior chemotherapy or those with at least stable disease after chemotherapy treated as &#8220;switch maintenance&#8221; therapy. The primary endpoint was feasibility (including the number of neoantigens identified per patient, vaccine production time, the proportion of patients consenting to the vaccine development phase for whom a vaccine product was prepared, and the proportion of patients eligible for the treatment phase who completed the priming cycle 1 of PGV001 plus atezolizumab) and safety. Secondary endpoints included the objective response rate, progression-free survival or disease-free survival, overall survival, and immunomodulatory effects of treatment. Urothelial tumor tissue and normal tissue or peripheral blood specimens were utilized for DNA sequencing. HLA typing was performed utilizing genomic DNA isolated from whole blood, and RNA sequencing was performed utilizing tumor tissue specimens. Neoantigen prediction and final selection for incorporation into the vaccine was determined by the OpenVax computational pipeline. 12 patients were initially enrolled into the vaccine development phase and 10 patients initiated the treatment phase. PGV001 was administered with poly-ICLC and tetanus peptide on subsequent days for up to 10 doses, including an initial priming cycle 1. Atezolizumab was administered every 3 weeks for up to 1 year in the adjuvant setting or 2 years in the metastatic setting. The vaccine was feasible and safe, the median vaccine production time was 20.3 weeks, and 100% of patients that initiated the treatment phase completed the priming cycle. The most common treatment-related adverse events were local grade 1 injection site reactions, fever, and fatigue. Three of the 4 patients in the adjuvant setting remained disease-free at median follow-up of 39.5 months. There was a 40% objective response rate among patients with measurable disease in the metastatic setting. The single patient treated as &#8220;switch maintenance&#8221; therapy remained with no evidence of disease at 39.4 month follow-up. All patients demonstrated on-treatment neoantigen-specific T cell reactivity, as measured by ELISPOT and flow cytometry assays. Overall, PGV001 plus atezolizumab was feasible, safe, and warrants further investigation. Whole exome sequencing from tumor tissue and normal tissue or whole blood specimens and RNA sequencing from tumor tissue specimens will be available through dbGaP. </p>","Matthew  Galsky, MD;Nina  Bhardwaj, MD, PhD","No PMID: Atezolizumab plus personalized neoantigen vaccination in urothelial cancer: a phase 1 trial | Saxena M, Anker JF, Kodysh J, O’Donnell T, Kaminska AM, Meseck M, Hapanowicz O, Niglio SA, Salazar AM, Shah HR, Kinoshita Y, Brody R, Rubinsteyn A, Sebra RP, Bhardwaj N, Galsky MD",;Clinical  and Translational Science Award UL1TR004419;P30  CA196521,Cohort,https://clinicaltrials.gov/study/NCT03359239?term=NCT03359239&rank=1,,Urinary Bladder Neoplasms;Urethral Neoplasms;Ureteral Neoplasms;Kidney Neoplasms;Immune Checkpoint Inhibitors;Immunotherapy,9.0,29.0,HMB,RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003922,nan,nan,aee380ef-107a-48fd-ba1b-db4503495eab,dbGaP
phs003610,"Circulating, Cell-Free DNA Methylation Patterns Indicate Cellular Sources    of Allograft Injury after Liver Transplant",DNA Methylation,2025-03-25,,,"<p>Post-transplant complications reduce allograft and recipient survival. Current approaches for detecting allograft injury non-invasively are limited and do not differentiate between cellular mechanisms. Here, we monitor cellular damages after liver transplants from cell-free DNA (cfDNA) fragments released from dying cells into the circulation. We analyzed longitudinal blood samples collected from patients at different time points after transplant. Sequence-based methylation of cfDNA fragments were mapped to an atlas of cell-type-specific DNA methylation patterns derived from 476 methylomes of purified cells. For liver cell types, DNA methylation patterns and multi-omic data integration show distinct enrichment in open chromatin and regulatory regions functionally important for the respective cell types. We find that multi-tissue cellular damage post-transplant recovers in patients without allograft injury during the first post-operative week. However, sustained elevation of hepatocyte and biliary epithelial cfDNA within the first month indicates early-onset allograft injury. Further, cfDNA composition differentiates amongst causes of allograft injury indicating the potential for non-invasive monitoring and timely intervention. </p>",Anton Wellstein,,"RO1CA231291, P30CA51008, T32CA009686, F30CA250307",Epigenetics;Methylation Sequencing;Transcriptome Sequencing,,,Liver Transplantation;Epigenetics,62.0,160.0,GRU-IRB-PUB-COL,RNA-Seq;ATAC-seq;ChIP-Seq;Bisulfite-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003610,nan,nan,3da0f95b-ddbe-4177-99f7-d5781f229bd7,dbGaP
phs003516,DNA Methylation in Prostate Tumor and Paired Benign Tissue for African    and European Ancestry Men,Prostatic Neoplasms,2025-03-25,,"DNA Methylation; NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic","<p>We recruited prostate cancer (PCa) patients undergoing robotic-assisted laparoscopic radical prostatectomy at the University of Chicago Medical Center Urology Clinic between 2011 and 2017. Our study includes 76 African American (AA) and 75 European American (EA) men with PCa of Gleason Score (GS) &#8805;7, recruited by the Epidemiology Research Recruitment Core at the University of Chicago. All patients consented to the collection of questionnaire data, prostate tissue, and medical records. The study was approved by the Institutional Review Board of the University of Chicago. </p><p>Following prostatectomy, prostate tissue was sent to the Human Tissue Research Center (HTRC) at the University of Chicago. Each sample underwent histological examination and Gleason scoring by University of Chicago genitourinary pathologists. The presence of adenocarcinoma was confirmed by overexpression of alpha-methylacyl-coenzyme-A racemase (AMACR) and areas for DNA extraction were marked. Tissue samples used for DNA extraction were obtained using with either a 1mm biopunch or laser microdissection of a 100 &#181;m2 area of tissue. Genome-wide DNA methylation profiles were generated using Illumina's Infinium MethylationEPIC BeadChip array kit. Genome-wide SNP data was generated (from benign tissue DNA) using the Illumina Infinium Multi-Ethnic Global-8 v1.0 array at the University of Chicago Genomics Core Facility. We performed imputation using the Haplotype Reference Consortium (HRC, Version r1.1 2016) panel, which includes all samples from the 1,000 Genomes Project (Phase 3), using the Michigan Imputation Server. The imputed SNP data for mQTL analysis was imputed based on genotype SNP data which was all from benign tissue DNA and the methylation data was identified in both tumor and benign tissue, both AA and EA men, and identified QTLs co-occuring with prostate cancer susceptibility loci.</p><p>Data including SNP genotypes, DNA methylation, tissue type, and participant characteristics will be available in dbGaP.</p>",Brandon Pierce,,DoD award W81XWH-14-1-0529,Case Set;Cohort;eQTL;Genotype;Tumor vs. Matched-Normal,,,DNA Methylation;Genotype,151.0,300.0,GRU,Imputation_SNP;Array_DNA_Methylation,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003516,nan,nan,3042a82b-ca62-4e0f-b80b-7d880fc54f9c,dbGaP
phs001287,CPTAC Proteogenomic Study,Neoplasms,2025-03-20,,"Lung Neoplasms; Sarcoma; Uterine Neoplasms; ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung","<p>Recently, significant progress has been made in characterizing and sequencing the genomic alterations in statistically robust numbers of samples from several types of cancer. For example, <a href=""https://www.genome.gov/Funded-Programs-Projects/Cancer-Genome-Atlas"" target=""_blank"">The Cancer Genome Atlas (TCGA)</a>, <a href=""https://docs.icgc-argo.org/docs/data-access/icgc-25k-data"" target=""_blank"">International Cancer Genome Consortium (ICGC)</a> and other similar efforts are identifying genomic alterations associated with specific cancers (e.g., copy number aberrations, rearrangements, point mutations, epigenomic changes, etc.) The availability of these multi-dimensional data to the scientific community sets the stage for the development of new molecularly targeted cancer interventions. Understanding the comprehensive functional changes in cancer proteomes arising from genomic alterations and other factors is the next logical step in the development of high-value candidate protein biomarkers. Hence, proteomics can greatly advance the understanding of molecular mechanisms of disease pathology via the analysis of changes in protein expression, their modifications and variations, as well as protein=protein interaction, signaling pathways and networks responsible for cellular functions such as apoptosis and oncogenesis. Realizing this great potential, the NCI launched the third phase of the CPTC initiative in September 2016. As the Clinical Proteomic Tumor Analysis Consortium, CPTAC continues to define cancer proteomes on genomically-characterized biospecimens. The purpose of this integrative approach was to provide the broad scientific community with knowledge that links genotype to proteotype and ultimately phenotype. In this third phase of CPTAC, the program aims to expand on CPTAC II and genomically and proteomically characterize over 2000 samples from 10 cancer types (Lung Adenocarcinoma, Pancreatic Ductal Adenocarcinoma, Glioblastoma Multiforme, Acute Myeloid Leukemia, Clear cell renal Carcinoma, Head and Neck Squamous Cell Carcinoma, Cutaneous Melanoma, Sarcoma, Lung Squamous Cell Carcinoma, Uterine Corpus Endometrial Carcinoma) .Germline DNA is obtained from blood and Normal control samples for proteomics varied by organ site. All cancer samples were derived from primary and untreated tumor.</p>",,,,Case Set,https://proteomics.cancer.gov;https://gdc.cancer.gov/about-gdc/contributed-genomic-data-cancer-research/clinical-proteomic-tumor-analysis-consortium-cptac,,"Adenocarcinoma of Lung;Pancreatic Neoplasms;Glioblastoma;Leukemia, Myeloid, Acute;Carcinoma, Renal Cell;Carcinoma, squamous cell of head and neck;Melanoma;Sarcoma;Lung Neoplasms;Uterine Neoplasms",7212.0,7212.0,GRU,,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001287,nan,nan,00771f08-d420-4c6a-9248-643ffb28043c,dbGaP
phs003618,Immune Determinants of Resistance to PD-1 Blockade in Renal Cell    Carcinoma,"Carcinoma, Renal Cell",2025-03-17,,"Kidney Neoplasms; ADENOCARCINOMA OF KIDNEY; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell","<p>We performed an integrated bulk and single-cell transcriptomic analysis of tumors from 102 advanced renal cell carcinoma patients enrolled in a phase II clinical trial of frontline nivolumab (<a href=""https://clinicaltrials.gov/study/NCT03117309"" target=""_blank"">NCT03117309</a>) to investigate determinants of response to anti-PD1 monotherapy. The present study includes 112 archival or pre-treatment tumors of clear cell and non-clear cell histologies from 90 patients that underwent bulk RNA sequencing (RNA-seq). For 76 patients, 74 of whom had matched RNA-seq, whole exome sequencing (WES) was also performed on tumor samples as well as matched peripheral blood. Additionally, 19 fresh tumor samples from 17 patients, including pre and post-treatment samples and mixed histologies, were locally cryopreserved and centrally processed for single cell RNA (scRNA-seq) and TCR (scTCR-seq) sequencing. 7 patients had matched scRNA/scTCRseq, RNAseq, and WES. </p>","David A. Braun, MD-PhD",,KC190128/W81XWH-20-1-0882;KC220016/HT9425-23-1-0735;1R37CA279822-01;P30CA016359;KC170216/W81XWH-18-1-0367;NCI P30CA051008;NCI P50CA101942;CA209-669,Case Set;Cohort,,,Kidney Neoplasms,102.0,285.0,HMB,OTHER;RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003618,nan,nan,b53ad978-dcdf-4db8-af96-65644bcd21b6,dbGaP
phs003251,Genetic Studies of Homologous Recombination Deficiency in Hispanic    Gastric Cancer,Stomach Neoplasms,2025-03-12,,"CA - Cancer of stomach; Ca lesser curvature - stomach; Cancer of Stomach; Cancer of the Stomach; Cancer, Gastric; Cancer, Stomach","<p>Approximately 10% of gastric cancer cases show familial clustering and a hereditary cause is likely, however, only 1-3% cases result from known hereditary syndromes &#8211; which are predominantly associated with <a href=""https://www.ncbi.nlm.nih.gov/gene/999"" target=""_blank"">CDH1 </a>and <a href=""https://www.ncbi.nlm.nih.gov/gene/1495"" target=""_blank"">CTNNA1 </a>genes. Hispanics are > 2 times more likely to be diagnosed and to die from gastric cancer compared to non-Hispanic whites. Not only does gastric cancer precision medicine lag behind other cancers &#8211; there is an urgent need to understand its etiology. </p><p>Germline mutations in homologous recombination genes have been implicated as important risk factors for gastric cancer. The purpose of this study is to continue to generate knowledge to improve gastric cancer outcomes and disparities by 1) characterizing prevalence of germline mutations in homologous recombination genes and identify new genes associated with gastric cancer 2) perform molecular characterization of gastric tumors in Hispanic patients. <br></p><p>Participants for germline analysis were enrolled from Chile, Colombia, Mexico, Portugal, Spain, Uruguay.</p><p>Whole exome sequence capture was performed for all germline and somatic samples using Agilent SureSelect Human All Exon v7 Kit.</p><p> All sequencing was performed on an Illumina NovaSeq 6000. </p><p><b>Germline Analysis: </b></p><ul><li>Whole exome sequencing was performed on 536 Hispanic patients (290 males, 246 female)</li></ul>",Luis Carvajal-Carmona,,,,,ATM;TP53;BRCA1;BRCA2;PALB2;RAD51D;RAD51C;CHEK2;MLH1;MSH2;MSH6,,536.0,536.0,GRU;GRU-NPU,WXS;Seq_DNA_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003251,nan,nan,8482aeb8-b87c-40fc-8a1b-f97e808435ae,dbGaP
phs002192,Cancer Moonshot Biobank,Neoplasms,2025-03-12,,Lung Neoplasms; AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult,"<p>The National Cancer Institute initiated the Cancer Moonshot Biobank to accelerate research through the collection and distribution of biospecimens for key research efforts. The Biobank will engage with over one thousand cancer patients, being treated with standard-of-care therapies, for longitudinal biospecimen and data collection. Cancer patients will be enrolled into the study from a diverse participant population engaged at medical institutions throughout the U.S. The biospecimens will be distributed to qualified scientists to accelerate research progress. The Biobank program, working closely with Leidos Biomedical, Inc. (LBR), will partner with community hospitals and other medical institutions, designated as Biospecimen Source Sites (BSS), to engage and consent eligible participants and collect biospecimens and associated clinical data; work with a central Biospecimen Core Resource (BCR) to support biospecimen collection, processing and storage activities and perform pathology quality control; work with LBR's Molecular Characterization (MoCha) lab to perform clinical tumor molecular characterization assays and return results to patients and their physicians; and make the biospecimens and associated data available to researchers to accelerate cancer research progress. Return of clinical results, a dedicated Patient and Provider Engagement (PPE) website, electronic informed consent, local participant engagement projects, and an embedded ethical, legal and social issues sub-study will together support patient and provider engagement in the program.</p> <p>Cancer Moonshot Biobank imaging data is being made available in The Cancer Imaging Archive (TCIA) on a release schedule that is coordinated with the program releases of data to dbGaP. The imaging data can be found at the following link: <a href=""https://www.cancerimagingarchive.net/research/cmb/"" target=""_blank"">Cancer Moonshot Biobank Imaging</a></p>","Helen Moore, PhD",,,Longitudinal,https://moonshotbiobank.cancer.gov/,BCL2;CD33;VEGFA;ROS1;CDk4;CDK6;EGFR;CTLA-4;BRAF;ALK;Androgen  R;ER;FLT3;GnRH;HER-2;IDH1;IDH2;LAG-3;LHRH;MEK;MET;mTOR;NTRK;PARP;PD-1;PD-L1;PIK3CA;PSMA;RET;SMO;TROP2,Colorectal Neoplasms;Lung Neoplasms;Prostatic Neoplasms;Gastric and Esophageal Neoplasms;Melanoma;Multiple Myeloma;Ovarian Cancer;Breast Cancer;Acute Myeloid Leukemia,503.0,2305.0,GRU,Seq_DNA_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002192,nan,nan,3be9c66c-e996-4495-b4d8-2b36e77bed07,dbGaP
phs003770,Pharmacokinetics and Pharmacogenomics of Ribociclib in Race-Based Cohorts    (LEANORA),ribociclib,2025-03-11,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer,"<p>Underrepresented populations' participation in clinical trials remains limited, and the potential impact of genomic variants on drug metabolism remains elusive. This study aimed to assess the pharmacokinetics (PK) and pharmacogenomics (PGx) of ribociclib in self-identified Black women with hormone receptor positive (HR+)/human epidermal growth factor receptor 2-negative (<a href=""https://www.ncbi.nlm.nih.gov/gene/2064"" target=""_blank"">HER2</a>) advanced breast cancer. LEANORA (<a href=""https://clinicaltrials.gov/study/NCT04657679?term=NCT04657679"" target=""_blank"">NCT04657679</a>) was a prospective, observational, multicenter cohort study involving 14 Black women. PK and PGx were evaluated using tandem mass spectrometry and PharmacoScan microarray. <a href=""https://www.ncbi.nlm.nih.gov/gene/1577"" target=""_blank"">CYP3A5</a>*3, CYP3A5*6, and CYP3A5*7 variants were genotyped and CYP3A5 phenotypes were constructed from these data. We observed 7 poor metabolizers (PM), 6 intermediate metabolizers (IM), and one normal metabolizer (NM). The area under the curve of plasma concentration versus time curve (AUC) of ribociclib did not differ between PMs (39,230 hr*ng/mL) and IM/NMs (43,546 hr*ng/mL; P=0.38). The incidence of adverse events (AEs) was also similar. We found no association between CYP3A5 genotype and ribociclib exposure. Continued efforts are needed to include diverse populations in clinical trials to ensure equitable treatment outcomes. </p>",Sandra M. Swain;Claudine Isaacs;Christopher Gallagher;D. Max Smith;Nadia Ashai,39349477,Breast Cancer Research Foundation (BCRF),Clinical Cohort,https://www.clinicaltrials.gov/search?term=LEANORA,CYP3A5;CYP3A4,Breast Neoplasms;African American;pharmacokinetics;toxicity,14.0,14.0,GRU,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003770,nan,nan,b696d3ad-c16f-41ce-8c43-cbacf43ae8f0,dbGaP
phs003438,Integrated Somatic and Germline Molecular Properties Dictating Biological    and Clinical Phenotypes in Cancer,Neoplasms,2025-03-11,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies,"<p>We performed single-nuclei matched RNA- and ATAC-sequencing of frozen biopsies from normal adjacent tissue, primary and metastatic esophageal adenocarcinoma specimens. The data was then further stratified into a tumor microenvironment and malignant compartment and was computationally analyzed to reveal cancer cell subtypes and programs driving malignancy. </p>","Eliezer M. Van Allen, MD",,R01CA227388;T32CA092203,Case-Control,,,,10.0,20.0,HMB,RNA-Seq;ATAC-seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003438,nan,nan,ab0cb728-bc3b-4a57-ba71-0b8670063c90,dbGaP
phs003284,Immune-Related Adverse Events after Immune Checkpoint Blockade-Based    Therapy are Associated with Improved Survival in Advanced Sarcoma,Sarcoma,2025-03-11,,Drug-Related Side Effects and Adverse Reactions; ADR; ADR - Adverse drug reaction; Adverse Drug Event; Adverse Drug Events; Adverse Drug Experience,"<p>Immune activation after immune checkpoint blockade (ICB) can lead to a unique group of adverse events (AEs), which have been associated with improved outcome in many carcinomas. The association between immune-related AEs (irAEs) and outcome in patients with sarcoma is not well studied. This study has two components: (1) a retrospective clinical study of irAEs among 131 patients treated with ICB at Memorial Sloan Kettering Cancer Center and (2) an analysis of a subset of these patients who have whole transcriptome sequencing available for analysis. </p><p>In the clinical study portion, we reviewed a cohort of patients with advanced sarcoma treated on prospective clinical trials utilizing ICB-based therapy between April 2017 and January 2020. The objectives were to pool the safety data from each trial, identify irAEs, and correlate them with best overall response by RECIST 1.1, progression-free survival (PFS) and overall survival (OS). Association of irAEs with response and survival was assessed using a Cox regression model. A total of 131 patients were included. Forty-two (32%) had at least one irAE of any grade and 16 (12%) had at least one Grade &#8805; 3 irAE. On Cox analysis adjusting for clinical covariates that were significant in the univariate setting, the hazard ratio (HR) for an irAE (HR 0.662, 95% CI 0.421 - 1.041) approached, but did not reach statistical significance for PFS (P = 0.074), while patients had a significantly lower HR for OS (HR 0.443, 95% CI 0.246 &#8211; 0.798; P = 0.007) compared to those without or before an irAE. </p><p>Tumor samples with available RNA sequencing data were stratified by presence of an irAE to identify patterns of differential gene expression. In total, 71 unique patients had RNA sequencing available for analysis. The transcriptomes of 31 of these patients have been previously uploaded to dbGaP (<a href=""https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002852.v1.p1"" target=""_blank"">phs002852</a>), leaving 36 unique transcriptomes that have not been previously publicly shared. Three patients did not agree for their sequencing to be publicly shared. Therefore, 33 unique patient samples will be uploaded to this dbGaP study. Overall, this study found that gene expression profiling on baseline tumor samples from patients who had an irAE had higher numbers of tumor-infiltrating dendritic cells, CD8+ T cells, and regulatory T cells as well as upregulation of immune and inflammatory pathways.</p><p> </p><p> </p><p> </p>","Evan Rosenbaum, MD;Sandra D'Angelo, MD",37787759,,Clinical Trial;RNA Sequencing,,,Immune Checkpoint Inhibitors;Drug-Related Side Effects and Adverse Reactions,64.0,108.0,DS-SARC,RNA-Seq;Seq_RNA_Expression,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003284,nan,nan,eca01e5f-ca68-4694-ae0c-4b4bb6972326,dbGaP
